policy,failure,device,workload,min_useful_mean,min_useful_ci_low,min_useful_ci_high,switch_rate,interruption_ms,outage_rate
SUB6_ONLY,nominal,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SUB6_ONLY,fr2_blockage,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SUB6_ONLY,sub6_congestion,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
SUB6_ONLY,cell_edge,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
SUB6_ONLY,mobility,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SUB6_ONLY,indoor,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SUB6_ONLY,backhaul,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SUB6_ONLY,compute_unavailability,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SUB6_ONLY,load_spike,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
SUB6_ONLY,simultaneous,student_14_5,lecture_video,0.0,0.0,0.0,0.0,0.0,1.0
SUB6_ONLY,recovery,student_14_5,lecture_video,1.0,1.0,1.0,0.0,0.0,0.0
FR2_ONLY,nominal,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
FR2_ONLY,fr2_blockage,student_14_5,lecture_video,0.0,0.0,0.0,0.0,8.0,1.0
FR2_ONLY,sub6_congestion,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
FR2_ONLY,cell_edge,student_14_5,lecture_video,0.0,0.0,0.0,0.0,1.0,0.0
FR2_ONLY,mobility,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
FR2_ONLY,indoor,student_14_5,lecture_video,0.0,0.0,0.0,0.0,8.0,1.0
FR2_ONLY,backhaul,student_14_5,lecture_video,1.0,1.0,1.0,0.0,1.0,0.0
